"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value Error Code : 2 File Name : C:\\xampp\\htdocs\\1921930\\index.php Line Number : 90 Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:18.404100 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:20.042600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:20.637600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:20.871600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:23.380200 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:39.773900 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:41.626300 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:42.006600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:42.174500 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:50:44.075400 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
